* Measurement data measured by REW V5.19
* Source: ?ó??? (Realtek High Definition Audio, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: 2019-7-30 12:56:35
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note:
* Measurement: 七月 30 12:56:35
* Smoothing: 1/6 octave
* Frequency Step: 0.36621654 Hz
* Start Frequency: 1.8310547 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
944.472, 50.385, 8.347
944.839, 50.387, 8.358
945.205, 50.389, 8.369
945.571, 50.390, 8.380
945.937, 50.392, 8.391
946.304, 50.394, 8.402
946.670, 50.396, 8.413
947.036, 50.398, 8.424
947.402, 50.400, 8.435
947.768, 50.402, 8.446
948.135, 50.403, 8.456
948.501, 50.405, 8.467
948.867, 50.407, 8.478
949.233, 50.409, 8.489
949.599, 50.411, 8.500
949.966, 50.413, 8.511
950.332, 50.415, 8.522
950.698, 50.417, 8.532
951.064, 50.418, 8.543
951.431, 50.420, 8.554
951.797, 50.422, 8.565
952.163, 50.424, 8.576
952.529, 50.426, 8.586
952.895, 50.428, 8.597
953.262, 50.430, 8.608
953.628, 50.431, 8.619
953.994, 50.433, 8.629
954.360, 50.435, 8.640
954.727, 50.437, 8.651
955.093, 50.439, 8.661
955.459, 50.441, 8.672
955.825, 50.443, 8.683
956.191, 50.445, 8.693
956.558, 50.446, 8.704
956.924, 50.448, 8.715
957.290, 50.450, 8.725
957.656, 50.452, 8.736
958.022, 50.454, 8.747
958.389, 50.456, 8.757
958.755, 50.458, 8.768
959.121, 50.459, 8.778
959.487, 50.461, 8.789
959.854, 50.463, 8.800
960.220, 50.465, 8.810
960.586, 50.467, 8.821
960.952, 50.469, 8.831
961.318, 50.471, 8.842
961.685, 50.472, 8.853
962.051, 50.474, 8.863
962.417, 50.476, 8.874
962.783, 50.478, 8.884
963.149, 50.480, 8.895
963.516, 50.482, 8.905
963.882, 50.484, 8.916
964.248, 50.485, 8.926
964.614, 50.487, 8.937
964.981, 50.489, 8.947
965.347, 50.491, 8.958
965.713, 50.493, 8.968
966.079, 50.495, 8.979
966.445, 50.497, 8.989
966.812, 50.498, 9.000
967.178, 50.500, 9.010
967.544, 50.502, 9.021
967.910, 50.504, 9.031
968.276, 50.506, 9.042
968.643, 50.508, 9.052
969.009, 50.510, 9.062
969.375, 50.511, 9.073
969.741, 50.513, 9.083
970.108, 50.515, 9.094
970.474, 50.517, 9.104
970.840, 50.519, 9.115
971.206, 50.521, 9.125
971.572, 50.523, 9.135
971.939, 50.524, 9.146
972.305, 50.526, 9.156
972.671, 50.528, 9.167
973.037, 50.530, 9.177
973.404, 50.532, 9.188
973.770, 50.534, 9.198
974.136, 50.536, 9.208
974.502, 50.537, 9.219
974.868, 50.539, 9.229
975.235, 50.541, 9.240
975.601, 50.543, 9.250
975.967, 50.545, 9.260
976.333, 50.547, 9.271
976.699, 50.549, 9.281
977.066, 50.550, 9.292
977.432, 50.552, 9.302
977.798, 50.554, 9.312
978.164, 50.556, 9.323
978.531, 50.558, 9.333
978.897, 50.560, 9.343
979.263, 50.561, 9.354
979.629, 50.563, 9.364
979.995, 50.565, 9.375
980.362, 50.567, 9.385
980.728, 50.569, 9.395
981.094, 50.571, 9.406
981.460, 50.573, 9.416
981.827, 50.574, 9.427
982.193, 50.576, 9.437
982.559, 50.578, 9.447
982.925, 50.580, 9.458
983.291, 50.582, 9.468
983.658, 50.584, 9.479
984.024, 50.585, 9.489
984.390, 50.587, 9.499
984.756, 50.589, 9.510
985.122, 50.591, 9.520
985.489, 50.593, 9.531
985.855, 50.595, 9.541
986.221, 50.597, 9.551
986.587, 50.598, 9.562
986.954, 50.600, 9.572
987.320, 50.602, 9.583
987.686, 50.604, 9.593
988.052, 50.606, 9.604
988.418, 50.608, 9.614
988.785, 50.609, 9.624
989.151, 50.611, 9.635
989.517, 50.613, 9.645
989.883, 50.615, 9.656
990.250, 50.617, 9.666
990.616, 50.619, 9.677
990.982, 50.620, 9.687
991.348, 50.622, 9.698
991.714, 50.624, 9.708
992.081, 50.626, 9.719
992.447, 50.628, 9.729
992.813, 50.630, 9.740
993.179, 50.632, 9.750
993.545, 50.633, 9.761
993.912, 50.635, 9.771
994.278, 50.637, 9.782
994.644, 50.639, 9.792
995.010, 50.641, 9.803
995.377, 50.643, 9.813
995.743, 50.644, 9.824
996.109, 50.646, 9.834
996.475, 50.648, 9.845
996.841, 50.650, 9.856
997.208, 50.652, 9.866
997.574, 50.654, 9.877
997.940, 50.655, 9.887
998.306, 50.657, 9.898
998.672, 50.659, 9.909
999.039, 50.661, 9.919
999.405, 50.663, 9.930
999.771, 50.665, 9.940
1000.137, 50.666, 9.951
1000.504, 50.668, 9.962
1000.870, 50.670, 9.972
1001.236, 50.672, 9.983
1001.602, 50.674, 9.994
1001.968, 50.676, 10.005
1002.335, 50.677, 10.015
1002.701, 50.679, 10.026
1003.067, 50.681, 10.037
1003.433, 50.683, 10.047
1003.799, 50.685, 10.058
1004.166, 50.687, 10.069
1004.532, 50.689, 10.080
1004.898, 50.690, 10.090
1005.264, 50.692, 10.101
1005.631, 50.694, 10.112
1005.997, 50.696, 10.123
1006.363, 50.698, 10.134
1006.729, 50.700, 10.145
1007.095, 50.701, 10.155
1007.462, 50.703, 10.166
1007.828, 50.705, 10.177
1008.194, 50.707, 10.188
1008.560, 50.709, 10.199
1008.927, 50.711, 10.210
1009.293, 50.712, 10.221
1009.659, 50.714, 10.232
1010.025, 50.716, 10.243
1010.391, 50.718, 10.254
1010.758, 50.720, 10.265
1011.124, 50.722, 10.276
1011.490, 50.724, 10.286
1011.856, 50.725, 10.297
1012.222, 50.727, 10.308
1012.589, 50.729, 10.320
1012.955, 50.731, 10.331
1013.321, 50.733, 10.342
1013.687, 50.735, 10.353
1014.054, 50.736, 10.364
1014.420, 50.738, 10.375
1014.786, 50.740, 10.386
1015.152, 50.742, 10.397
1015.518, 50.744, 10.408
1015.885, 50.746, 10.419
1016.251, 50.748, 10.431
1016.617, 50.749, 10.442
1016.983, 50.751, 10.453
1017.350, 50.753, 10.464
1017.716, 50.755, 10.475
1018.082, 50.757, 10.487
1018.448, 50.759, 10.498
1018.814, 50.761, 10.509
1019.181, 50.762, 10.521
1019.547, 50.764, 10.532
1019.913, 50.766, 10.543
1020.279, 50.768, 10.555
1020.645, 50.770, 10.566
1021.012, 50.772, 10.577
1021.378, 50.774, 10.589
1021.744, 50.775, 10.600
1022.110, 50.777, 10.611
1022.477, 50.779, 10.623
1022.843, 50.781, 10.634
1023.209, 50.783, 10.646
1023.575, 50.785, 10.657
1023.941, 50.787, 10.669
1024.308, 50.788, 10.680
1024.674, 50.790, 10.692
1025.040, 50.792, 10.703
1025.406, 50.794, 10.715
1025.772, 50.796, 10.727
1026.139, 50.798, 10.738
1026.505, 50.800, 10.750
1026.871, 50.802, 10.761
1027.237, 50.803, 10.773
1027.604, 50.805, 10.785
1027.970, 50.807, 10.796
1028.336, 50.809, 10.808
1028.702, 50.811, 10.820
1029.068, 50.813, 10.832
1029.435, 50.815, 10.843
1029.801, 50.817, 10.855
1030.167, 50.818, 10.867
1030.533, 50.820, 10.879
1030.900, 50.822, 10.890
1031.266, 50.824, 10.902
1031.632, 50.826, 10.914
1031.998, 50.828, 10.926
1032.364, 50.830, 10.938
1032.731, 50.832, 10.950
1033.097, 50.834, 10.962
1033.463, 50.835, 10.974
1033.829, 50.837, 10.985
1034.195, 50.839, 10.997
1034.562, 50.841, 11.009
1034.928, 50.843, 11.021
1035.294, 50.845, 11.033
1035.660, 50.847, 11.046
1036.027, 50.849, 11.058
1036.393, 50.851, 11.070
1036.759, 50.853, 11.082
1037.125, 50.854, 11.094
1037.491, 50.856, 11.106
1037.858, 50.858, 11.118
1038.224, 50.860, 11.130
1038.590, 50.862, 11.142
1038.956, 50.864, 11.155
1039.323, 50.866, 11.167
1039.689, 50.868, 11.179
1040.055, 50.870, 11.191
1040.421, 50.872, 11.204
1040.787, 50.874, 11.216
1041.154, 50.876, 11.228
1041.520, 50.877, 11.240
1041.886, 50.879, 11.253
1042.252, 50.881, 11.265
1042.618, 50.883, 11.277
1042.985, 50.885, 11.290
1043.351, 50.887, 11.302
1043.717, 50.889, 11.315
1044.083, 50.891, 11.327
1044.450, 50.893, 11.340
1044.816, 50.895, 11.352
1045.182, 50.897, 11.365
1045.548, 50.899, 11.377
1045.914, 50.901, 11.390
1046.281, 50.903, 11.402
1046.647, 50.905, 11.415
1047.013, 50.906, 11.427
1047.379, 50.908, 11.440
1047.745, 50.910, 11.452
1048.112, 50.912, 11.465
1048.478, 50.914, 11.478
1048.844, 50.916, 11.490
1049.210, 50.918, 11.503
1049.577, 50.920, 11.516
1049.943, 50.922, 11.528
1050.309, 50.924, 11.541
1050.675, 50.926, 11.554
1051.041, 50.928, 11.566
1051.408, 50.930, 11.579
1051.774, 50.932, 11.592
1052.140, 50.934, 11.605
1052.506, 50.936, 11.618
1052.873, 50.938, 11.630
1053.239, 50.940, 11.643
1053.605, 50.942, 11.656
1053.971, 50.944, 11.669
1054.337, 50.946, 11.682
1054.704, 50.948, 11.695
1055.070, 50.950, 11.708
1055.436, 50.952, 11.721
1055.802, 50.954, 11.734
1056.168, 50.956, 11.747
1056.535, 50.958, 11.760
1056.901, 50.960, 11.772
1057.267, 50.962, 11.786
1057.633, 50.964, 11.799
1058.000, 50.966, 11.812
1058.366, 50.968, 11.825
1058.732, 50.970, 11.838
1059.098, 50.972, 11.851
1059.464, 50.974, 11.864
1059.831, 50.976, 11.877
1060.197, 50.978, 11.890
1060.563, 50.980, 11.903
1060.929, 50.982, 11.916
1061.296, 50.984, 11.930
1061.662, 50.986, 11.943
1062.028, 50.988, 11.956
1062.394, 50.990, 11.969
1062.760, 50.992, 11.982
1063.127, 50.994, 11.996
1063.493, 50.996, 12.009
1063.859, 50.998, 12.022
1064.225, 51.000, 12.035
1064.591, 51.002, 12.049
1064.958, 51.004, 12.062
1065.324, 51.006, 12.075
1065.690, 51.008, 12.089
1066.056, 51.010, 12.102
1066.422, 51.012, 12.115
1066.789, 51.014, 12.129
1067.155, 51.016, 12.142
1067.521, 51.018, 12.156
1067.887, 51.020, 12.169
1068.254, 51.022, 12.182
1068.620, 51.024, 12.196
1068.986, 51.026, 12.209
1069.352, 51.028, 12.223
1069.719, 51.031, 12.236
1070.085, 51.033, 12.250
1070.451, 51.035, 12.263
1070.817, 51.037, 12.277
1071.183, 51.039, 12.290
1071.550, 51.041, 12.304
1071.916, 51.043, 12.317
1072.282, 51.045, 12.331
1072.648, 51.047, 12.344
1073.014, 51.049, 12.358
1073.381, 51.051, 12.371
1073.747, 51.053, 12.385
1074.113, 51.055, 12.399
1074.479, 51.058, 12.412
1074.845, 51.060, 12.426
1075.212, 51.062, 12.440
1075.578, 51.064, 12.453
1075.944, 51.066, 12.467
1076.310, 51.068, 12.481
1076.677, 51.070, 12.494
1077.043, 51.072, 12.508
1077.409, 51.074, 12.522
1077.775, 51.076, 12.535
1078.141, 51.078, 12.549
1078.508, 51.081, 12.563
1078.874, 51.083, 12.576
1079.240, 51.085, 12.590
1079.606, 51.087, 12.604
1079.973, 51.089, 12.618
1080.339, 51.091, 12.631
1080.705, 51.093, 12.645
1081.071, 51.095, 12.659
1081.437, 51.098, 12.673
1081.804, 51.100, 12.687
1082.170, 51.102, 12.700
1082.536, 51.104, 12.714
1082.902, 51.106, 12.728
1083.269, 51.108, 12.742
1083.635, 51.110, 12.756
1084.001, 51.112, 12.770
1084.367, 51.115, 12.783
1084.733, 51.117, 12.797
1085.100, 51.119, 12.811
1085.466, 51.121, 12.825
1085.832, 51.123, 12.839
1086.198, 51.125, 12.853
1086.564, 51.127, 12.867
1086.931, 51.130, 12.881
1087.297, 51.132, 12.895
1087.663, 51.134, 12.909
1088.029, 51.136, 12.922
1088.396, 51.138, 12.936
1088.762, 51.140, 12.950
1089.128, 51.143, 12.964
1089.494, 51.145, 12.978
1089.860, 51.147, 12.992
1090.227, 51.149, 13.006
1090.593, 51.151, 13.020
1090.959, 51.153, 13.034
1091.325, 51.156, 13.048
1091.692, 51.158, 13.062
1092.058, 51.160, 13.076
1092.424, 51.162, 13.090
1092.790, 51.164, 13.104
1093.156, 51.166, 13.118
1093.523, 51.169, 13.132
1093.889, 51.171, 13.146
1094.255, 51.173, 13.160
1094.621, 51.175, 13.174
1094.987, 51.177, 13.188
1095.354, 51.180, 13.202
1095.720, 51.182, 13.216
1096.086, 51.184, 13.230
1096.452, 51.186, 13.244
1096.818, 51.188, 13.258
1097.185, 51.191, 13.272
1097.551, 51.193, 13.286
1097.917, 51.195, 13.300
1098.283, 51.197, 13.315
1098.650, 51.199, 13.329
1099.016, 51.202, 13.343
1099.382, 51.204, 13.357
1099.748, 51.206, 13.371
1100.115, 51.208, 13.385
1100.481, 51.210, 13.399
1100.847, 51.213, 13.413
1101.213, 51.215, 13.427
1101.579, 51.217, 13.441
1101.946, 51.219, 13.455
1102.312, 51.222, 13.469
1102.678, 51.224, 13.483
1103.044, 51.226, 13.498
1103.410, 51.228, 13.512
1103.777, 51.231, 13.526
1104.143, 51.233, 13.540
1104.509, 51.235, 13.554
1104.875, 51.237, 13.568
1105.241, 51.239, 13.582
1105.608, 51.242, 13.596
1105.974, 51.244, 13.610
1106.340, 51.246, 13.625
1106.706, 51.248, 13.639
1107.073, 51.251, 13.653
1107.439, 51.253, 13.667
1107.805, 51.255, 13.681
1108.171, 51.257, 13.695
1108.537, 51.260, 13.709
1108.904, 51.262, 13.723
1109.270, 51.264, 13.737
1109.636, 51.266, 13.752
1110.002, 51.269, 13.766
1110.369, 51.271, 13.780
1110.735, 51.273, 13.794
1111.101, 51.275, 13.808
1111.467, 51.278, 13.822
1111.833, 51.280, 13.836
1112.200, 51.282, 13.850
1112.566, 51.284, 13.865
1112.932, 51.287, 13.879
1113.298, 51.289, 13.893
1113.664, 51.291, 13.907
1114.031, 51.293, 13.921
1114.397, 51.296, 13.935
1114.763, 51.298, 13.949
1115.129, 51.300, 13.963
1115.496, 51.303, 13.977
1115.862, 51.305, 13.991
1116.228, 51.307, 14.006
1116.594, 51.309, 14.020
1116.960, 51.312, 14.034
1117.327, 51.314, 14.048
1117.693, 51.316, 14.062
1118.059, 51.318, 14.076
1118.425, 51.321, 14.090
1118.792, 51.323, 14.104
1119.158, 51.325, 14.118
1119.524, 51.328, 14.133
1119.890, 51.330, 14.147
1120.256, 51.332, 14.161
1120.623, 51.334, 14.175
1120.989, 51.337, 14.189
1121.355, 51.339, 14.203
1121.721, 51.341, 14.217
1122.087, 51.344, 14.231
1122.454, 51.346, 14.245
1122.820, 51.348, 14.259
1123.186, 51.350, 14.273
1123.552, 51.353, 14.287
1123.919, 51.355, 14.301
1124.285, 51.357, 14.316
1124.651, 51.360, 14.330
1125.017, 51.362, 14.344
1125.383, 51.364, 14.358
1125.750, 51.366, 14.372
1126.116, 51.369, 14.386
1126.482, 51.371, 14.400
1126.848, 51.373, 14.414
1127.214, 51.376, 14.428
1127.581, 51.378, 14.442
1127.947, 51.380, 14.456
1128.313, 51.382, 14.470
1128.679, 51.385, 14.484
1129.046, 51.387, 14.498
1129.412, 51.389, 14.512
1129.778, 51.392, 14.526
1130.144, 51.394, 14.540
1130.510, 51.396, 14.554
1130.877, 51.399, 14.568
1131.243, 51.401, 14.582
1131.609, 51.403, 14.596
1131.975, 51.405, 14.610
1132.342, 51.408, 14.624
1132.708, 51.410, 14.638
1133.074, 51.412, 14.652
1133.440, 51.415, 14.666
1133.806, 51.417, 14.680
1134.173, 51.419, 14.694
1134.539, 51.422, 14.708
1134.905, 51.424, 14.722
1135.271, 51.426, 14.736
1135.637, 51.429, 14.750
1136.004, 51.431, 14.764
1136.370, 51.433, 14.778
1136.736, 51.435, 14.792
1137.102, 51.438, 14.805
1137.469, 51.440, 14.819
1137.835, 51.442, 14.833
1138.201, 51.445, 14.847
1138.567, 51.447, 14.861
1138.933, 51.449, 14.875
1139.300, 51.452, 14.889
1139.666, 51.454, 14.903
1140.032, 51.456, 14.917
1140.398, 51.459, 14.930
1140.765, 51.461, 14.944
1141.131, 51.463, 14.958
1141.497, 51.465, 14.972
1141.863, 51.468, 14.986
1142.229, 51.470, 15.000
1142.596, 51.472, 15.014
1142.962, 51.475, 15.027
1143.328, 51.477, 15.041
1143.694, 51.479, 15.055
1144.060, 51.482, 15.069
1144.427, 51.484, 15.083
1144.793, 51.486, 15.096
1145.159, 51.489, 15.110
1145.525, 51.491, 15.124
1145.891, 51.493, 15.138
1146.258, 51.495, 15.152
1146.624, 51.498, 15.165
1146.990, 51.500, 15.179
1147.356, 51.502, 15.193
1147.723, 51.505, 15.207
1148.089, 51.507, 15.220
1148.455, 51.509, 15.234
1148.821, 51.512, 15.248
1149.188, 51.514, 15.262
1149.554, 51.516, 15.275
1149.920, 51.519, 15.289
1150.286, 51.521, 15.303
1150.652, 51.523, 15.316
1151.019, 51.526, 15.330
1151.385, 51.528, 15.344
1151.751, 51.530, 15.357
1152.117, 51.532, 15.371
1152.483, 51.535, 15.385
1152.850, 51.537, 15.398
1153.216, 51.539, 15.412
1153.582, 51.542, 15.426
1153.948, 51.544, 15.439
1154.314, 51.546, 15.453
1154.681, 51.549, 15.467
1155.047, 51.551, 15.480
1155.413, 51.553, 15.494
1155.779, 51.556, 15.507
1156.146, 51.558, 15.521
1156.512, 51.560, 15.534
1156.878, 51.563, 15.548
1157.244, 51.565, 15.562
1157.610, 51.567, 15.575
1157.977, 51.569, 15.589
1158.343, 51.572, 15.602
1158.709, 51.574, 15.616
1159.075, 51.576, 15.629
1159.442, 51.579, 15.643
1159.808, 51.581, 15.656
1160.174, 51.583, 15.670
1160.540, 51.586, 15.683
1160.906, 51.588, 15.697
1161.273, 51.590, 15.710
1161.639, 51.593, 15.724
1162.005, 51.595, 15.737
1162.371, 51.597, 15.751
1162.737, 51.599, 15.764
1163.104, 51.602, 15.777
1163.470, 51.604, 15.791
1163.836, 51.606, 15.804
1164.202, 51.609, 15.818
1164.569, 51.611, 15.831
1164.935, 51.613, 15.844
1165.301, 51.616, 15.858
1165.667, 51.618, 15.871
1166.033, 51.620, 15.885
1166.400, 51.623, 15.898
1166.766, 51.625, 15.911
1167.132, 51.627, 15.925
1167.498, 51.629, 15.938
1167.865, 51.632, 15.951
1168.231, 51.634, 15.965
1168.597, 51.636, 15.978
1168.963, 51.639, 15.991
1169.329, 51.641, 16.005
1169.696, 51.643, 16.018
1170.062, 51.646, 16.031
1170.428, 51.648, 16.044
1170.794, 51.650, 16.057
1171.161, 51.653, 16.071
1171.527, 51.655, 16.084
1171.893, 51.657, 16.097
1172.259, 51.659, 16.110
1172.625, 51.662, 16.124
1172.992, 51.664, 16.137
1173.358, 51.666, 16.150
1173.724, 51.669, 16.163
1174.090, 51.671, 16.176
1174.456, 51.673, 16.189
1174.823, 51.676, 16.203
1175.189, 51.678, 16.216
1175.555, 51.680, 16.229
1175.921, 51.682, 16.242
1176.287, 51.685, 16.255
1176.654, 51.687, 16.268
1177.020, 51.689, 16.281
1177.386, 51.692, 16.294
1177.752, 51.694, 16.307
1178.119, 51.696, 16.321
1178.485, 51.699, 16.334
1178.851, 51.701, 16.347
1179.217, 51.703, 16.360
1179.583, 51.705, 16.373
1179.950, 51.708, 16.386
1180.316, 51.710, 16.399
1180.682, 51.712, 16.412
1181.048, 51.715, 16.425
1181.415, 51.717, 16.438
1181.781, 51.719, 16.451
1182.147, 51.721, 16.464
1182.513, 51.724, 16.477
1182.879, 51.726, 16.489
1183.246, 51.728, 16.502
1183.612, 51.731, 16.515
1183.978, 51.733, 16.528
1184.344, 51.735, 16.541
1184.710, 51.738, 16.554
1185.077, 51.740, 16.567
1185.443, 51.742, 16.580
1185.809, 51.744, 16.593
1186.175, 51.747, 16.605
1186.542, 51.749, 16.618
1186.908, 51.751, 16.631
1187.274, 51.754, 16.644
1187.640, 51.756, 16.657
1188.006, 51.758, 16.669
1188.373, 51.760, 16.682
1188.739, 51.763, 16.695
1189.105, 51.765, 16.708
1189.471, 51.767, 16.721
1189.838, 51.770, 16.733
1190.204, 51.772, 16.746
1190.570, 51.774, 16.759
1190.936, 51.777, 16.771
1191.302, 51.779, 16.784
1191.669, 51.781, 16.797
1192.035, 51.783, 16.810
1192.401, 51.786, 16.822
1192.767, 51.788, 16.835
1193.133, 51.790, 16.848
1193.500, 51.793, 16.860
1193.866, 51.795, 16.873
1194.232, 51.797, 16.885
1194.598, 51.799, 16.898
1194.965, 51.802, 16.911
1195.331, 51.804, 16.923
1195.697, 51.806, 16.936
1196.063, 51.809, 16.948
1196.429, 51.811, 16.961
1196.796, 51.813, 16.974
1197.162, 51.815, 16.986
1197.528, 51.818, 16.999
1197.894, 51.820, 17.011
1198.260, 51.822, 17.024
1198.627, 51.825, 17.036
1198.993, 51.827, 17.049
1199.359, 51.829, 17.061
1199.725, 51.831, 17.074
1200.092, 51.834, 17.086
1200.458, 51.836, 17.099
1200.824, 51.838, 17.111
1201.190, 51.840, 17.123
1201.556, 51.843, 17.136
1201.923, 51.845, 17.148
1202.289, 51.847, 17.161
1202.655, 51.850, 17.173
1203.021, 51.852, 17.185
1203.388, 51.854, 17.198
1203.754, 51.856, 17.210
1204.120, 51.859, 17.223
1204.486, 51.861, 17.235
1204.852, 51.863, 17.247
1205.219, 51.866, 17.260
1205.585, 51.868, 17.272
1205.951, 51.870, 17.284
1206.317, 51.872, 17.296
1206.683, 51.875, 17.309
1207.050, 51.877, 17.321
1207.416, 51.879, 17.333
1207.782, 51.881, 17.346
1208.148, 51.884, 17.358
1208.515, 51.886, 17.370
1208.881, 51.888, 17.382
1209.247, 51.891, 17.394
1209.613, 51.893, 17.407
1209.979, 51.895, 17.419
1210.346, 51.897, 17.431
1210.712, 51.900, 17.443
1211.078, 51.902, 17.455
1211.444, 51.904, 17.468
1211.811, 51.907, 17.480
1212.177, 51.909, 17.492
1212.543, 51.911, 17.504
1212.909, 51.913, 17.516
1213.275, 51.916, 17.528
1213.642, 51.918, 17.540
1214.008, 51.920, 17.552
1214.374, 51.922, 17.564
1214.740, 51.925, 17.576
1215.106, 51.927, 17.589
1215.473, 51.929, 17.601
1215.839, 51.931, 17.613
1216.205, 51.934, 17.625
1216.571, 51.936, 17.637
1216.938, 51.938, 17.649
1217.304, 51.941, 17.661
1217.670, 51.943, 17.673
1218.036, 51.945, 17.685
1218.402, 51.947, 17.697
1218.769, 51.950, 17.708
1219.135, 51.952, 17.720
1219.501, 51.954, 17.732
1219.867, 51.956, 17.744
1220.234, 51.959, 17.756
1220.600, 51.961, 17.768
1220.966, 51.963, 17.780
1221.332, 51.966, 17.792
1221.698, 51.968, 17.804
1222.065, 51.970, 17.816
1222.431, 51.972, 17.828
1222.797, 51.975, 17.839
1223.163, 51.977, 17.851
1223.529, 51.979, 17.863
1223.896, 51.981, 17.875
1224.262, 51.984, 17.887
1224.628, 51.986, 17.898
1224.994, 51.988, 17.910
1225.360, 51.990, 17.922
1225.727, 51.993, 17.934
1226.093, 51.995, 17.946
1226.459, 51.997, 17.957
1226.825, 51.999, 17.969
1227.192, 52.002, 17.981
1227.558, 52.004, 17.993
1227.924, 52.006, 18.004
1228.290, 52.009, 18.016
1228.656, 52.011, 18.028
1229.023, 52.013, 18.039
1229.389, 52.015, 18.051
1229.755, 52.018, 18.063
1230.121, 52.020, 18.074
1230.488, 52.022, 18.086
1230.854, 52.024, 18.098
1231.220, 52.027, 18.109
1231.586, 52.029, 18.121
1231.952, 52.031, 18.133
1232.319, 52.033, 18.144
1232.685, 52.036, 18.156
1233.051, 52.038, 18.167
1233.417, 52.040, 18.179
1233.783, 52.042, 18.191
1234.150, 52.045, 18.202
1234.516, 52.047, 18.214
1234.882, 52.049, 18.225
1235.248, 52.051, 18.237
1235.615, 52.054, 18.248
1235.981, 52.056, 18.260
1236.347, 52.058, 18.271
1236.713, 52.060, 18.283
1237.079, 52.063, 18.294
1237.446, 52.065, 18.306
1237.812, 52.067, 18.317
1238.178, 52.069, 18.329
1238.544, 52.072, 18.340
1238.911, 52.074, 18.352
1239.277, 52.076, 18.363
1239.643, 52.078, 18.375
1240.009, 52.081, 18.386
1240.375, 52.083, 18.397
1240.742, 52.085, 18.409
1241.108, 52.087, 18.420
1241.474, 52.090, 18.432
1241.840, 52.092, 18.443
1242.206, 52.094, 18.454
1242.573, 52.096, 18.466
1242.939, 52.099, 18.477
1243.305, 52.101, 18.488
1243.671, 52.103, 18.500
1244.038, 52.105, 18.511
1244.404, 52.108, 18.522
1244.770, 52.110, 18.534
1245.136, 52.112, 18.545
1245.502, 52.114, 18.556
1245.869, 52.117, 18.568
1246.235, 52.119, 18.579
1246.601, 52.121, 18.590
1246.967, 52.123, 18.601
1247.333, 52.126, 18.613
1247.700, 52.128, 18.624
1248.066, 52.130, 18.635
1248.432, 52.132, 18.646
1248.798, 52.135, 18.658
1249.165, 52.137, 18.669
1249.531, 52.139, 18.680
1249.897, 52.141, 18.691
1250.263, 52.144, 18.702
1250.630, 52.146, 18.714
1250.996, 52.148, 18.725
1251.362, 52.150, 18.736
1251.728, 52.153, 18.747
1252.094, 52.155, 18.758
1252.461, 52.157, 18.769
1252.827, 52.159, 18.781
1253.193, 52.162, 18.792
1253.559, 52.164, 18.803
1253.925, 52.166, 18.814
1254.292, 52.168, 18.825
1254.658, 52.171, 18.836
1255.024, 52.173, 18.847
1255.390, 52.175, 18.858
1255.756, 52.177, 18.870
1256.123, 52.180, 18.880
1256.489, 52.182, 18.892
1256.855, 52.184, 18.903
1257.221, 52.186, 18.914
1257.588, 52.188, 18.925
1257.954, 52.191, 18.936
1258.320, 52.193, 18.947
1258.686, 52.195, 18.958
1259.052, 52.197, 18.969
1259.419, 52.200, 18.980
1259.785, 52.202, 18.991
1260.151, 52.204, 19.002
1260.517, 52.206, 19.013
1260.884, 52.209, 19.024
1261.250, 52.211, 19.035
1261.616, 52.213, 19.046
1261.982, 52.215, 19.057
1262.348, 52.218, 19.068
1262.715, 52.220, 19.079
1263.081, 52.222, 19.090
1263.447, 52.224, 19.100
1263.813, 52.226, 19.111
1264.179, 52.229, 19.122
1264.546, 52.231, 19.133
1264.912, 52.233, 19.144
1265.278, 52.235, 19.155
1265.644, 52.238, 19.166
1266.010, 52.240, 19.177
1266.377, 52.242, 19.188
1266.743, 52.244, 19.199
1267.109, 52.247, 19.209
1267.475, 52.249, 19.220
1267.842, 52.251, 19.231
1268.208, 52.253, 19.242
1268.574, 52.255, 19.253
1268.940, 52.258, 19.264
1269.307, 52.260, 19.274
1269.673, 52.262, 19.285
1270.039, 52.264, 19.296
1270.405, 52.267, 19.307
1270.771, 52.269, 19.318
1271.138, 52.271, 19.328
1271.504, 52.273, 19.339
1271.870, 52.276, 19.350
1272.236, 52.278, 19.361
1272.602, 52.280, 19.372
1272.969, 52.282, 19.382
1273.335, 52.284, 19.393
1273.701, 52.287, 19.404
1274.067, 52.289, 19.415
1274.433, 52.291, 19.425
1274.800, 52.293, 19.436
1275.166, 52.295, 19.447
1275.532, 52.298, 19.457
1275.898, 52.300, 19.468
1276.265, 52.302, 19.479
1276.631, 52.304, 19.490
1276.997, 52.307, 19.500
1277.363, 52.309, 19.511
1277.729, 52.311, 19.522
1278.096, 52.313, 19.532
1278.462, 52.315, 19.543
1278.828, 52.318, 19.554
1279.194, 52.320, 19.564
1279.561, 52.322, 19.575
1279.927, 52.324, 19.586
1280.293, 52.327, 19.596
1280.659, 52.329, 19.607
1281.025, 52.331, 19.617
1281.392, 52.333, 19.628
1281.758, 52.335, 19.639
1282.124, 52.338, 19.649
1282.490, 52.340, 19.660
1282.857, 52.342, 19.671
1283.223, 52.344, 19.681
